Match,Team
SF 1,Belgium
SF 1,Portugal
SF 1,Italy
SF 1,Austria
SF 1,France
SF 1,Switzerland
SF 1,Croatia
SF 1,Spain
SF 2,Sweden
SF 2,Ukraine
SF 2,England
SF 2,Germany
SF 2,Netherlands
SF 2,Czech Republic
SF 2,Wales
SF 2,Denmark
