Match,Team
QF 1,Belgium
QF 1,Portugal
QF 1,Italy
QF 1,Austria
QF 2,France
QF 2,Switzerland
QF 2,Croatia
QF 2,Spain
QF 3,Sweden
QF 3,Ukraine
QF 3,England
QF 3,Germany
QF 4,Netherlands
QF 4,Czech Republic
QF 4,Wales
QF 4,Denmark
